15698893,0.0
15749442,0.0
15799197,0.0
15849502,0.0
15899270,0.0
15949378,0.0
15999312,0.0
16049494,79.71304
16099309,180.6685
16151297,192.3669
16199491,207.4818
16249332,240.8091
16299178,220.6797
16349034,240.7077
16398900,240.6594
16449297,238.1189
16499175,240.6015
16549062,240.5533
16598954,240.5292
16649647,236.7377
16699553,240.4665
16749207,241.6772
16799132,240.375
16849060,240.3557
16898997,240.3172
16948938,240.2932
16999473,237.4921
17049176,241.4195
17098767,240.3172
17148807,239.8082
17199334,237.5297
17249078,241.24
17298831,241.206
17349133,238.597
17398915,241.0704
17448741,240.8865
17499368,237.0651
17549218,240.7463
17599079,240.6787
17648738,241.7308
17698681,240.3172
17750846,230.0658
17799407,247.117
17849385,240.1441
17899374,240.0624
17949106,241.303
18000869,231.8437
18050911,239.8369
18098717,230.0822
18148767,239.7986
18198824,239.7411
18249419,237.1963
18300943,252.3194
18348778,229.9379
18398887,239.5688
18449033,239.3394
